City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ulladulla,9,AU,1570035685,76,-35.36,150.48,55.4,6.93
thompson,5,CA,1570035685,60,55.74,-97.86,41,6.93
luderitz,0,NA,1570035686,92,-26.65,15.16,55.78,17.4
ceres,62,BR,1570035686,24,-15.31,-49.6,94.48,8.75
beringovskiy,77,RU,1570035686,87,63.05,179.32,30.4,2.89
cape town,20,ZA,1570035604,77,-33.93,18.42,66,17.22
tuktoyaktuk,90,CA,1570035767,93,69.44,-133.03,37.4,3.36
hermanus,100,ZA,1570035767,89,-34.42,19.24,63,4
malwan,,,,,,,,
la ronge,90,CA,1570035743,69,55.1,-105.3,39.2,10.29
bredasdorp,100,ZA,1570035768,77,-34.53,20.04,63,13.87
punta arenas,40,CL,1570035600,57,-53.16,-70.91,50,28.86
qaanaaq,87,GL,1570035768,82,77.48,-69.36,26.8,2.57
new norfolk,75,AU,1570035768,76,-42.78,147.06,53.01,3.36
okha,100,RU,1570035769,61,53.59,142.95,41.92,24.61
chunoyar,100,RU,1570035769,79,57.45,97.32,36.88,9.33
hithadhoo,15,MV,1570035769,79,-0.6,73.08,82.78,17.98
ushuaia,40,AR,1570035480,75,-54.81,-68.31,48.2,33.33
tecolutla,100,MX,1570035769,82,17.31,-98.74,66.94,3.98
vilyuysk,81,RU,1570035770,91,63.75,121.63,22.84,3.8
nouakchott,0,MR,1570035770,7,18.08,-15.98,111.2,17.22
zhaotong,90,CN,1570035770,98,27.34,103.71,57.4,1.66
dunedin,99,NZ,1570035517,63,-45.87,170.5,45,14
jamestown,8,AU,1570035770,86,-33.21,138.6,48.4,1.34
mataura,100,NZ,1570035771,88,-46.19,168.86,42.01,4
illoqqortoormiut,,,,,,,,
hobart,75,AU,1570035650,76,-42.88,147.33,53.01,3.36
roald,75,NO,1570035771,76,62.58,6.12,50,12.75
saskylakh,55,RU,1570035771,88,71.97,114.09,16,3.85
bethel,90,US,1570035544,100,60.79,-161.76,46.4,10.29
eten,40,PE,1570035772,68,-6.91,-79.86,69.8,9.17
arraial do cabo,0,BR,1570035772,57,-22.97,-42.02,77,18.34
paidha,98,UG,1570035772,96,2.42,30.99,62.8,3.83
dallas,40,US,1570035648,55,32.78,-96.8,90,8.05
verkhnevilyuysk,81,RU,1570035772,86,63.45,120.31,23.56,4.36
sinor,18,IN,1570035773,88,21.91,73.34,78.64,6.87
quatre cocos,75,MU,1570035773,83,-20.21,57.76,75.2,9.17
kalininsk,0,RU,1570035773,69,51.5,44.48,51.82,4.34
mys shmidta,,,,,,,,
east london,0,ZA,1570035773,72,-33.02,27.91,68,14.99
puerto ayora,75,EC,1570035774,64,-0.74,-90.35,75.2,12.75
norman wells,90,CA,1570035774,100,65.28,-126.83,39.2,2.24
provideniya,89,RU,1570035774,86,64.42,-173.23,36.88,13.18
florianopolis,0,BR,1570035774,69,-27.6,-48.55,78.8,19.46
samusu,,,,,,,,
barrow,31,AR,1570035775,40,-38.31,-60.23,56.86,11.65
coquimbo,0,CL,1570035775,48,-29.95,-71.34,60.8,12.75
pevek,100,RU,1570035775,74,69.7,170.27,30.4,12.3
rikitea,100,PF,1570035775,81,-23.12,-134.97,62.8,11.56
vila franca do campo,75,PT,1570035776,88,37.72,-25.43,73.4,23.04
faanui,76,PF,1570035776,76,-16.48,-151.75,76.84,18.57
butaritari,87,KI,1570035776,63,3.07,172.79,84.94,5.12
leningradskiy,100,RU,1570035776,91,69.38,178.42,28.96,15.75
gibara,75,CU,1570035776,74,21.11,-76.13,84.2,11.41
vanimo,58,PG,1570035777,69,-2.67,141.3,83.14,2.53
mahebourg,75,MU,1570035777,83,-20.41,57.7,75.2,9.17
suluova,0,TR,1570035777,43,40.83,35.65,73.4,6.93
basoko,28,CD,1570035777,91,1.23,23.61,72.34,0.96
port alfred,91,ZA,1570035778,89,-33.59,26.89,63,1.01
bluff,5,AU,1570035778,90,-23.58,149.07,59.02,12.8
ibia,100,NG,1570035828,96,5.18,6.32,72.88,4.54
lamont,33,CA,1570035828,73,53.76,-112.78,41,5.01
campbell river,90,CA,1570035829,81,50.02,-125.24,51.8,6.93
busselton,100,AU,1570035829,64,-33.64,115.35,55.99,5.99
barentsburg,,,,,,,,
yellowknife,75,CA,1570035577,81,62.45,-114.38,42.8,6.93
macia,1,MZ,1570035829,81,-25.03,33.09,62.44,5.68
berdigestyakh,67,RU,1570035829,93,62.1,126.7,23.56,7
taolanaro,,,,,,,,
mar del plata,16,AR,1570035830,22,-46.43,-67.52,52.9,11.56
wabana,90,CA,1570035830,81,47.63,-52.95,43,5.82
upernavik,51,GL,1570035830,68,72.79,-56.15,36.52,11.7
koshurnikovo,4,RU,1570035830,81,54.3,93.39,28.78,2.73
atuona,18,PF,1570035559,74,-9.8,-139.03,79.36,12.48
ust-tsilma,79,RU,1570035831,93,65.44,52.15,41.56,5.64
mount gambier,90,AU,1570035831,93,-37.83,140.78,53.6,12.75
victoria,75,BN,1570035605,94,5.28,115.24,78.8,1.45
nanortalik,64,GL,1570035831,62,60.14,-45.24,45.88,1.57
haizhou,0,CN,1570035831,92,34.58,119.13,66.76,3.65
comodoro rivadavia,20,AR,1570035737,43,-45.87,-67.48,51.8,6.93
placido de castro,22,BR,1570035832,35,-10.34,-67.19,97.18,4.56
wexford,1,US,1570035832,65,40.63,-80.06,87.01,9.17
san isidro,75,CR,1570035832,73,10.02,-84.06,77,8.05
sirjan,82,IR,1570035691,17,29.44,55.67,75.94,11.61
